date,timestamp,open,high,low,close,volume
2020-11-26,11:00:00,3631.034,3635.399,3629.439,3631.848,3.98882985138334
2020-11-26,12:00:00,3631.942,3634.054,3630.345,3630.442,3.1811298810062
2020-11-26,13:00:00,3630.449,3633.097,3630.336,3631.842,1.84850993170403
2020-11-26,14:00:00,3631.846,3632.048,3626.842,3629.839,2.33780991332605
2020-11-26,15:00:00,3630.054,3632.354,3629.536,3630.799,1.60992994013941
2020-11-26,16:00:00,3630.842,3633.148,3629.139,3632.133,1.89458992891014
2020-11-26,17:00:00,3632.439,3633.151,3625.551,3629.154,1.91645992913982
2020-11-26,18:00:00,3629.134,3631.199,3626.699,3628.148,2.06880992266815
2020-11-26,19:00:00,3628.448,3628.499,3616.536,3620.139,4.50724983180407
2020-11-27,01:00:00,3623.851,3625.354,3617.399,3622.048,3.50255986989941
2020-11-27,02:00:00,3622.033,3623.099,3616.845,3622.039,4.15482984494884
2020-11-27,03:00:00,3622.037,3624.354,3619.333,3619.542,3.65212986408733
2020-11-27,04:00:00,3619.848,3620.399,3614.842,3620.039,3.18278988124803
2020-11-27,05:00:00,3620.052,3623.352,3617.333,3622.833,1.93254992732545
2020-11-27,06:00:00,3622.933,3628.097,3622.533,3626.354,1.49537994421553
2020-11-27,07:00:00,3626.34,3631.899,3624.733,3631.842,2.85675989277661
2020-11-27,08:00:00,3631.851,3635.254,3629.851,3633.036,2.4308399091824
2020-11-27,09:00:00,3633.034,3633.852,3629.342,3629.345,2.65523990127258
2020-11-27,10:00:00,3629.551,3638.599,3629.339,3637.839,5.45937979524024
2020-11-27,11:00:00,3638.034,3639.551,3633.533,3634.539,2.45616990921553
2020-11-27,12:00:00,3634.848,3636.343,3632.339,3635.033,3.14414988277713
2020-11-27,13:00:00,3635.043,3637.099,3633.839,3636.333,1.45204994577216
2020-11-27,14:00:00,3636.349,3639.354,3635.333,3639.354,1.3983499474125
2020-11-27,15:00:00,3639.346,3643.354,3637.936,3640.839,1.84596993104788
2020-11-27,16:00:00,3640.831,3644.152,3637.936,3639.439,5.59149979235372
2020-11-27,17:00:00,3639.642,3644.697,3638.642,3642.399,5.67333978856914
2020-11-27,18:00:00,3642.337,3643.699,3634.142,3636.399,6.08079977356829
2020-11-27,19:00:00,3636.633,3639.354,3627.848,3638.754,5.5561097910977
2020-11-27,20:00:00,3638.854,3639.699,3636.142,3638.699,1.44947994576069
2020-11-30,01:00:00,3644.936,3652.597,3641.239,3643.036,3.83562985720346
2020-11-30,02:00:00,3643.049,3643.245,3631.299,3633.448,7.20935973274754
2020-11-30,03:00:00,3633.554,3634.243,3625.533,3630.039,6.12959977140417
2020-11-30,04:00:00,3630.254,3631.599,3625.533,3631.033,4.02765985042788
2020-11-30,05:00:00,3631.043,3635.099,3626.433,3626.945,3.05160988640273
2020-11-30,06:00:00,3626.949,3627.599,3619.099,3620.739,3.62443986581638
2020-11-30,07:00:00,3621.099,3621.754,3611.736,3616.039,6.8392197455978
2020-11-30,08:00:00,3616.046,3616.599,3604.033,3606.254,5.89710978028597
2020-11-30,09:00:00,3606.236,3614.599,3605.745,3614.551,6.1512397712213
2020-11-30,10:00:00,3614.752,3625.799,3610.236,3622.542,10.7660395984421
2020-11-30,11:00:00,3622.752,3626.097,3620.233,3624.299,4.78978982102126
