datetime,SPY
2024-05-03 16:30:00,511.29
2024-05-06 16:30:00,516.57
2024-05-07 16:30:00,517.14
2024-05-08 16:30:00,517.19
2024-05-09 16:30:00,520.17
2024-05-10 16:30:00,520.84
2024-05-13 16:30:00,520.91
2024-05-14 16:30:00,523.3
2024-05-15 16:30:00,529.78
2024-05-16 16:30:00,528.69
2024-05-17 16:30:00,529.45
2024-05-20 16:30:00,530.06
2024-05-21 16:30:00,531.36
2024-05-22 16:30:00,529.83
2024-05-23 16:30:00,525.96
2024-05-24 16:30:00,529.44
2024-05-28 16:30:00,529.81
2024-05-29 16:30:00,526.1
2024-05-30 16:30:00,522.61
2024-05-31 16:30:00,527.37
2024-06-03 16:30:00,527.8
2024-06-04 16:30:00,528.39
2024-06-05 16:30:00,534.67
2024-06-06 16:30:00,534.66
2024-06-07 16:30:00,534.01
2024-06-10 16:30:00,535.66
2024-06-11 16:30:00,536.95
2024-06-12 16:30:00,541.36
2024-06-13 16:30:00,542.45
2024-06-14 16:30:00,542.78
2024-06-17 16:30:00,547.1
2024-06-18 16:30:00,548.49
2024-06-20 16:30:00,547.0
2024-06-21 16:30:00,544.51
2024-06-24 16:30:00,542.74
2024-06-25 16:30:00,544.83
2024-06-26 16:30:00,545.51
2024-06-27 16:30:00,546.37
2024-06-28 16:30:00,544.22
2024-07-01 16:30:00,545.34
2024-07-02 16:30:00,549.01
2024-07-03 16:30:00,551.46
2024-07-05 16:30:00,554.64
2024-07-08 16:30:00,555.28
2024-07-09 16:30:00,555.82
2024-07-10 16:30:00,561.32
2024-07-11 16:30:00,556.48
2024-07-12 16:30:00,559.99
2024-07-15 16:30:00,561.53
2024-07-16 16:30:00,564.86
2024-07-17 16:30:00,556.94
2024-07-18 16:30:00,552.66
2024-07-19 16:30:00,548.99
2024-07-22 16:30:00,554.65
2024-07-23 16:30:00,553.78
2024-07-24 16:30:00,541.23
2024-07-25 16:30:00,538.41
2024-07-26 16:30:00,544.44
2024-07-29 16:30:00,544.76
2024-07-30 16:30:00,542.0
2024-07-31 16:30:00,550.81
2024-08-01 16:30:00,543.01
2024-08-02 16:30:00,532.9
2024-08-05 16:30:00,517.38
2024-08-06 16:30:00,522.15
2024-08-07 16:30:00,518.66
2024-08-08 16:30:00,530.65
2024-08-09 16:30:00,532.99
2024-08-12 16:30:00,533.27
2024-08-13 16:30:00,542.04
2024-08-14 16:30:00,543.75
2024-08-15 16:30:00,553.07
2024-08-16 16:30:00,554.31
2024-08-19 16:30:00,559.61
2024-08-20 16:30:00,558.7
2024-08-21 16:30:00,560.62
2024-08-22 16:30:00,556.22
2024-08-23 16:30:00,562.13
2024-08-26 16:30:00,560.79
2024-08-27 16:30:00,561.56
2024-08-28 16:30:00,558.3
2024-08-29 16:30:00,558.35
2024-08-30 16:30:00,563.68
2024-09-03 16:30:00,552.08
2024-09-04 16:30:00,550.95
2024-09-05 16:30:00,549.61
2024-09-06 16:30:00,540.36
2024-09-09 16:30:00,546.41
2024-09-10 16:30:00,548.79
2024-09-11 16:30:00,554.42
2024-09-12 16:30:00,559.09
2024-09-13 16:30:00,562.01
2024-09-16 16:30:00,562.84
2024-09-17 16:30:00,563.07
2024-09-18 16:30:00,561.4
2024-09-19 16:30:00,570.98
2024-09-20 16:30:00,568.25
2024-09-23 16:30:00,569.67
2024-09-24 16:30:00,571.3
2024-09-25 16:30:00,570.04
2024-09-26 16:30:00,572.3
2024-09-27 16:30:00,571.47
2024-09-30 16:30:00,573.76
2024-10-01 16:30:00,568.62
2024-10-02 16:30:00,568.86
2024-10-03 16:30:00,567.82
2024-10-04 16:30:00,572.98
2024-10-07 16:30:00,567.8
2024-10-08 16:30:00,573.17
2024-10-09 16:30:00,577.14
2024-10-10 16:30:00,576.13
2024-10-11 16:30:00,579.58
2024-10-14 16:30:00,584.32
2024-10-15 16:30:00,579.78
2024-10-16 16:30:00,582.3
2024-10-17 16:30:00,582.35
2024-10-18 16:30:00,584.59
2024-10-21 16:30:00,583.63
2024-10-22 16:30:00,583.32
2024-10-23 16:30:00,577.99
2024-10-24 16:30:00,579.24
2024-10-25 16:30:00,579.04
2024-10-28 16:30:00,580.83
2024-10-29 16:30:00,581.77
2024-10-30 16:30:00,580.01
2024-10-31 16:30:00,568.64
2024-11-01 16:30:00,571.04
2024-11-04 17:30:00,569.81
2024-11-05 17:30:00,576.7
2024-11-06 17:30:00,591.04
2024-11-07 17:30:00,595.61
2024-11-08 17:30:00,598.19
2024-11-11 17:30:00,598.76
2024-11-12 17:30:00,596.9
2024-11-13 17:30:00,597.19
2024-11-14 17:30:00,593.35
2024-11-15 17:30:00,585.75
2024-11-18 17:30:00,588.15
2024-11-19 17:30:00,590.3
2024-11-20 17:30:00,590.5
2024-11-21 17:30:00,593.67
2024-11-22 17:30:00,595.51
2024-11-25 17:30:00,597.53
2024-11-26 17:30:00,600.65
2024-11-27 17:30:00,598.83
2024-11-29 17:30:00,602.55
2024-12-02 17:30:00,603.63
2024-12-03 17:30:00,603.91
2024-12-04 17:30:00,607.66
2024-12-05 17:30:00,606.66
2024-12-06 17:30:00,607.81
2024-12-09 17:30:00,604.68
2024-12-10 17:30:00,602.8
2024-12-11 17:30:00,607.46
2024-12-12 17:30:00,604.33
2024-12-13 17:30:00,604.21
2024-12-16 17:30:00,606.79
2024-12-17 17:30:00,604.29
2024-12-18 17:30:00,586.28
2024-12-19 17:30:00,586.1
